"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-20c-no5.dat",3.0962,1,124.8,6193.9971,0.676601708491452,8.8606,0.053,138.6667,0.9,0.2481,0.1297,0.1337,44.0033,0.1888,0.566,50.6922,8.0389,14599255.3104,257.0829,0.4741,1.26668049486919e-05,9.04695601280253e-06,1.81383567512301e-05,9.50487858593149e-06,7.72128332709588e-07,1.04134924097594e-06,1.35185081654947e-07,8.4862957031709e-06,2.40198811116195e-05,2.13165675813001e-05
"10d-20c-no6.dat",3.1069,1,127.9,6311.3588,0.676628450588913,7.3151,0.0453,142.1111,0.9,0.2726,0.1337,0.1451,34.5236,0.189,0.5968,49.0559,7.4398,13703444.7993,257.4351,0.5024,1.45742458891974e-05,7.96571243061967e-06,1.74199983508339e-05,1.20810845643378e-05,5.21024209885035e-06,2.4177778217566e-06,5.4894385275907e-07,1.75768302407059e-05,1.93570064165226e-05,2.50019221495726e-05
"10d-20c-no7.dat",3.0342,1,108.2,5425.7951,0.676629504975856,8.1501,0.0591,120.2222,0.9,0.2436,0.117,0.1316,43.7554,0.1917,0.5487,49.0902,7.8496,11367814.453,227.35,0.5132,2.92686419508681e-05,1.09791823988972e-05,2.05839138247023e-05,1.37629590319164e-05,6.68955871206262e-07,6.19302609743043e-07,1.79053146648524e-07,9.09136928301614e-06,2.26089507235508e-05,2.87852101670654e-05
"10d-20c-no8.dat",3.1086,1,128.4,6116.6606,0.676644084251881,7.6597,0.0441,142.6667,0.9,0.2591,0.1298,0.1385,35.1471,0.1897,0.5763,49.2219,7.5969,13872762.3425,261.2291,0.543,1.41414695846175e-05,1.22562050205942e-05,1.85410167035174e-05,1.40962954876764e-05,1.18147387810445e-06,2.24593162038822e-06,4.0121848037211e-07,1.15459949539554e-05,2.05805287024281e-05,1.90183793844716e-05
"10d-20c-no9.dat",3.1193,1,131.6,7367.3587,0.676638738299639,8.7943,0.0489,146.2222,0.9,0.2817,0.1276,0.1393,39.1585,0.1901,0.5813,48.3003,7.9177,15963323.6118,277.9349,0.4234,1.60310720811074e-05,9.86418032206287e-06,1.2379067088765e-05,1.04451543401768e-05,5.34310890329314e-07,4.36588504292105e-07,2.71322343732328e-07,1.22293286325097e-05,1.58338433728325e-05,2.18809731505297e-05
"10d-40c-no0.dat",3.2871,1,193.7,6642.3071,0.676590814852923,10.892,0.0348,215.2222,0.9,0.2136,0.1322,0.1387,42.3403,0.1904,0.5056,59.1591,8.176,46439378.0106,398.8921,0.5358,2.218880439953e-05,1.22009102377484e-05,2.75504518939566e-05,1.29102063804832e-05,7.36270945265317e-07,1.33723315591786e-06,5.15572488002187e-07,1.46781282619589e-05,2.9524306604636e-05,3.80308367660295e-05
"10d-40c-no1.dat",3.3596,1,228.9,6533.8931,0.676579756489111,10.237,0.0303,254.3333,0.9,0.2137,0.1373,0.1438,36.9333,0.1923,0.5121,58.4901,8.2245,59433811.9708,462.8194,0.4852,1.84022519152744e-05,1.11342624291488e-05,2.51330683721268e-05,2.06166189923157e-05,1.56794508373113e-06,3.17952562645562e-06,7.33146291604524e-07,2.35351294325187e-05,2.79775025285175e-05,3.82663171572137e-05
"10d-40c-no2.dat",3.3983,1,250.2,8020.0413,0.67656276220982,11.2487,0.0289,278,0.9,0.1958,0.1381,0.1461,38.6647,0.1901,0.4951,58.3279,8.261,69358897.4539,500.8406,0.4839,2.09001325723547e-05,1.02705189600224e-05,2.37026600559112e-05,2.68308942247545e-05,2.69002173930736e-06,2.05028458665291e-06,5.48448978515336e-07,2.2973292726238e-05,2.41741036599327e-05,3.88829957132425e-05
"10d-40c-no3.dat",3.3556,1,226.8,7388.2075,0.676630693610275,8.811,0.0278,252,0.9,0.2096,0.1391,0.1477,35.5176,0.1968,0.5073,54.0092,7.9519,59744613.6677,484.0777,0.5036,1.99041544023899e-05,1.92179787678376e-05,3.35506452666408e-05,2.52427224733107e-05,1.22000495030484e-06,1.88436574784202e-06,8.8366509246007e-07,8.84497126098759e-07,2.69928966814551e-05,3.40400342677606e-05
"10d-40c-no4.dat",3.4325,1,270.7,7344.97,0.676587918010063,10.4822,0.0266,300.7778,0.9,0.2071,0.1366,0.1508,33.5324,0.1984,0.4913,56.5359,8.1509,90493144.4936,590.2881,0.5411,2.13910476022887e-05,1.2075612966451e-05,2.43858934182002e-05,2.26881547066982e-05,2.20081073479114e-06,3.62124851183897e-06,7.33889097234975e-07,2.83464356389044e-05,2.72240891849838e-05,3.08931775665236e-05
"10d-40c-no5.dat",3.372,1,235.5,6340.6168,0.676558632467156,10.7515,0.0314,261.6667,0.9,0.2218,0.1303,0.1442,37.9475,0.1867,0.4993,60.2339,8.1952,59626922.6616,463.5468,0.5335,1.66704036048634e-05,1.42020692167192e-05,2.46189887511177e-05,1.66356917601712e-05,1.07486752229626e-06,1.27848887561388e-06,6.00530090853631e-07,1.7901250137447e-05,1.97850024922046e-05,3.59074486196089e-05
"10d-40c-no6.dat",3.4252,1,266.2,7770.5959,0.676569187947175,10.1519,0.0303,295.7778,0.9,0.2312,0.1317,0.1488,36.2032,0.1931,0.5136,56.2166,8.2909,84696988.2878,559.0727,0.5098,1.06849213768608e-05,1.18537039976618e-05,2.55864308397301e-05,2.35256321744759e-05,1.97736386366357e-06,2.60262473841919e-06,4.54304565296783e-07,2.26754786687182e-05,2.04680751368316e-05,4.21999923350023e-05
