"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"2d-3c.txt",2.8543,0.301,357.5,112.9962,0.602412508493373,26.2887,0.0046,357.5,1,0.7686,0.1933,0.1728,0.6901,0.1829,0.7797,1.1608,134.577,5468.5871,152.9339,0.5556,1.01727419484979,1.00621574412812,1.0056504083504,1.40706385841793,1.18283808098811,1.04520443147769,1.01194801947041,1.0607405401179,1.04826125825488,1.01752069945401
"2d-4c-1.txt",3.1007,0.301,630.5,667.006,0.550690794354933,264.4966,0,630.5,1,0.7011,0.3158,0.1301,97.6111,0.1796,0.826,32.0465,1210.9093,8715330.115,330.6967,0.6118,15.5230108130775,9.67549723015453,20.3960558938745,12.4814132505052,8.1516638147934,7.84505898599344,10.3094360372854,12.4800404426362,13.6482577195625,10.1103493939452
"2d-4c-2.txt",2.936,0.301,431.5,575.7034,1,55.6267,0.0395,431.5,1,0.5055,0.1813,0.1515,8.4534,0.1863,0.8016,5.3793,346.8273,542656.8267,189.3623,0.5352,6.00366443959498,6.07395686396051,6.07294207954264,7.42903127671674,6.89839462455201,4.27543913851625,4.56899836147479,6.68987020331985,6.10650466425252,6.01515771240888
"2d-4c-3.txt",2.9425,0.301,438,129.873,0.513794409603174,49.987,0,438,1,0.7342,0.2162,0.2144,7.1465,0.1692,0.7969,9.1361,267.8057,26366.8634,156.3863,0.565,5.99494867449742,5.34181070864531,5.47018770206169,7.22584585911549,8.11038112583275,5.84457141189485,5.44807962760045,5.7102387042248,5.47174410347461,5.73351453713048
"2dnormals.txt",3,0.301,500,1.0251,0.599776634046907,2.7087,0.008,500,1,0.7456,0.1652,0.1662,2.0198,0.1681,0.7831,2.3113,114.0568,10528.3386,179.3901,0.5323,1.97202917752884,1.9732489583734,1.97386194350059,2.46761021656827,2.10394710448459,2.46246850393548,1.99727696853283,2.4685597451129,2.00761851367468,1.97321427961361
"2sp2glob.txt",3.301,0.301,1000,193.9445,0.480543341585898,41.4054,0,2000,0.5,0.9573,0.2073,0.2267,11.2732,0.1727,0.8099,11.1524,399.1461,339057.8593,368.6637,0.4696,7.59289743810293,4.81056550715973,4.81056550715973,11.7085861347595,6.33590854057855,4.65196465710524,4.55739693779795,4.66174282510989,8.52104322195545,7.99828001498597
"2spiral.txt",3,0.301,500,0,0.49134847431682,9.5427,0,500,1,0.5588,0.1752,0.1731,3.2405,0.1685,0.7884,5.6854,143.9496,29008.2326,185.6362,0.5865,3.28966216632141,3.27762160995616,3.5219646093495,5.39136028516016,3.2822585557119,3.27420989819283,3.23302124355753,3.26620694775331,3.33415916650825,3.27650870993412
"3MC.txt",2.6021,0.301,200,28.2674,0.558645277684492,16.7405,0,200,1,0.6301,0.1964,0.1981,3.2125,0.1673,0.7969,5.2898,133.6751,1353.9079,71.0884,0.5008,4.57106127471416,4.86436955462744,3.7348518381644,4.49627233401141,4.87394638661719,3.6347415792686,4.6743649445974,3.67420605622545,4.58277965294053,4.57770530588835
"aml28.txt",2.9053,0.301,402,843.6842,0.797256347576167,215.8719,0,402,1,0.6265,0.1978,0.2805,40.0701,0.1706,0.8067,13.1024,423.7758,805358.2691,165.7349,0.5052,10.1284418077776,17.8548686606037,9.67206454076615,13.4199081432025,9.53632023294476,9.54384263531828,9.06513074271542,9.42919342950869,10.1075875477082,10.1346775787432
"atom.txt",2.9031,0.4771,266.6667,5.7945,0.834105872337767,114.4032,0,266.6667,1,0.3471,0.2601,0.1308,78.0285,0.206,0.6283,37.0172,55.3605,9904768.9858,216.6058,0.5183,28.6667728965281,20.3121664764677,28.8703763761608,26.1298846064276,19.5454075832163,19.2716014066511,25.5433417858442,24.8596240116911,31.5534454140202,31.0041716659456
"banana - Ori.txt",3.6822,0.301,2405.5,135.439,0.176798837872244,164.3591,0,2405.5,1,0.7081,0.1722,0.194,0.1707,0.1729,0.7918,0.3567,314.9813,739.0069,869.8507,0.4575,0.206290960878741,0.200425100102304,0.21035131397915,0.36491370074825,0.192903294767717,0.194381144151337,0.217197465626276,0.19873867298065,0.211769093731379,0.206993630975564
